name,degreein,date
69,13,2019-08-30
153,12,2019-08-30
89,10,2019-08-30
262,10,2019-08-30
233,9,2019-08-30
151,9,2019-08-30
41,9,2019-08-30
142,8,2019-08-30
149,5,2019-08-30
70,4,2019-08-30
159,2,2019-08-30
31,2,2019-08-30
181,2,2019-08-30
161,2,2019-08-30
94,1,2019-08-30
154,1,2019-08-30
229,0,2019-08-30
242,0,2019-08-30
188,0,2019-08-30
34,0,2019-08-30
207,0,2019-08-30
86,0,2019-08-30
235,0,2019-08-30
270,0,2019-08-30
1,0,2019-08-30
278,0,2019-08-30
108,0,2019-08-30
188,40,2019-08-31
34,38,2019-08-31
31,38,2019-08-31
9,37,2019-08-31
153,37,2019-08-31
233,36,2019-08-31
242,35,2019-08-31
154,35,2019-08-31
181,34,2019-08-31
151,34,2019-08-31
70,34,2019-08-31
229,33,2019-08-31
159,33,2019-08-31
94,33,2019-08-31
207,33,2019-08-31
86,33,2019-08-31
235,33,2019-08-31
270,33,2019-08-31
262,33,2019-08-31
1,33,2019-08-31
41,33,2019-08-31
108,33,2019-08-31
149,31,2019-08-31
69,30,2019-08-31
278,29,2019-08-31
89,22,2019-08-31
142,5,2019-08-31
161,0,2019-08-31
188,77,2019-09-01
242,75,2019-09-01
31,66,2019-09-01
69,59,2019-09-01
233,57,2019-09-01
278,57,2019-09-01
270,55,2019-09-01
9,52,2019-09-01
262,52,2019-09-01
151,52,2019-09-01
229,51,2019-09-01
159,51,2019-09-01
94,51,2019-09-01
34,51,2019-09-01
207,51,2019-09-01
1,51,2019-09-01
149,51,2019-09-01
154,51,2019-09-01
70,51,2019-09-01
41,51,2019-09-01
108,51,2019-09-01
86,49,2019-09-01
89,48,2019-09-01
181,46,2019-09-01
235,39,2019-09-01
153,30,2019-09-01
161,5,2019-09-01
142,0,2019-09-01
233,31,2019-09-02
235,30,2019-09-02
151,30,2019-09-02
89,28,2019-09-02
242,28,2019-09-02
69,28,2019-09-02
149,28,2019-09-02
154,27,2019-09-02
108,27,2019-09-02
31,26,2019-09-02
188,25,2019-09-02
86,25,2019-09-02
181,25,2019-09-02
278,25,2019-09-02
229,24,2019-09-02
159,24,2019-09-02
94,24,2019-09-02
34,24,2019-09-02
207,24,2019-09-02
153,24,2019-09-02
262,24,2019-09-02
1,24,2019-09-02
70,24,2019-09-02
41,24,2019-09-02
9,18,2019-09-02
270,15,2019-09-02
142,0,2019-09-02
161,0,2019-09-02
31,143,2019-09-03
188,141,2019-09-03
242,138,2019-09-03
9,123,2019-09-03
154,123,2019-09-03
70,122,2019-09-03
41,122,2019-09-03
229,121,2019-09-03
86,120,2019-09-03
94,118,2019-09-03
1,117,2019-09-03
149,116,2019-09-03
159,114,2019-09-03
270,114,2019-09-03
151,114,2019-09-03
108,114,2019-09-03
233,113,2019-09-03
89,111,2019-09-03
207,111,2019-09-03
235,111,2019-09-03
153,105,2019-09-03
278,105,2019-09-03
181,102,2019-09-03
34,99,2019-09-03
69,99,2019-09-03
262,90,2019-09-03
142,2,2019-09-03
161,0,2019-09-03
9,107,2019-09-04
229,100,2019-09-04
70,98,2019-09-04
154,97,2019-09-04
41,95,2019-09-04
94,93,2019-09-04
108,90,2019-09-04
159,82,2019-09-04
188,81,2019-09-04
1,76,2019-09-04
235,74,2019-09-04
233,74,2019-09-04
31,74,2019-09-04
181,74,2019-09-04
69,74,2019-09-04
149,74,2019-09-04
207,72,2019-09-04
86,72,2019-09-04
262,72,2019-09-04
151,72,2019-09-04
242,70,2019-09-04
278,70,2019-09-04
34,67,2019-09-04
270,67,2019-09-04
89,60,2019-09-04
153,56,2019-09-04
161,17,2019-09-04
142,3,2019-09-04
188,53,2019-09-05
31,36,2019-09-05
94,34,2019-09-05
278,31,2019-09-05
235,28,2019-09-05
108,26,2019-09-05
159,25,2019-09-05
242,22,2019-09-05
1,21,2019-09-05
9,20,2019-09-05
270,16,2019-09-05
161,15,2019-09-05
233,14,2019-09-05
154,14,2019-09-05
142,13,2019-09-05
153,12,2019-09-05
69,12,2019-09-05
151,12,2019-09-05
34,11,2019-09-05
181,11,2019-09-05
149,11,2019-09-05
70,11,2019-09-05
229,10,2019-09-05
86,10,2019-09-05
262,10,2019-09-05
207,9,2019-09-05
41,9,2019-09-05
89,7,2019-09-05
278,88,2019-09-06
94,67,2019-09-06
108,62,2019-09-06
235,58,2019-09-06
229,57,2019-09-06
9,56,2019-09-06
154,56,2019-09-06
159,55,2019-09-06
70,55,2019-09-06
41,51,2019-09-06
153,50,2019-09-06
69,49,2019-09-06
270,45,2019-09-06
89,44,2019-09-06
86,43,2019-09-06
1,42,2019-09-06
151,41,2019-09-06
262,40,2019-09-06
31,40,2019-09-06
207,39,2019-09-06
233,39,2019-09-06
181,39,2019-09-06
149,39,2019-09-06
188,37,2019-09-06
34,33,2019-09-06
242,27,2019-09-06
161,24,2019-09-06
142,5,2019-09-06
153,134,2019-09-07
233,131,2019-09-07
9,130,2019-09-07
154,128,2019-09-07
41,124,2019-09-07
