from,to,timestamp,rel_type
94,256,1604855745972.0,msg
159,256,1604853486476.0,msg
89,256,1604852648887.0,msg
94,256,1604852601737.0,msg
94,256,1604852591780.0,msg
94,256,1604852589646.0,msg
89,256,1604852586687.0,msg
89,256,1604852583615.0,msg
89,256,1604852528746.0,msg
94,256,1604849737634.0,msg
94,256,1604849711195.0,msg
94,256,1604849703037.0,msg
89,256,1604848459793.0,msg
89,256,1604848418302.0,msg
94,256,1604591574640.0,msg
89,256,1604582935550.0,msg
94,256,1603874476601.0,msg
89,256,1603873266077.0,msg
94,89,1605002907449.0,reaction
159,89,1605002861369.0,reaction
94,159,1605001857484.0,reaction
94,89,1604929900081.0,reaction
159,89,1604848459793.0,reaction
94,89,1604582935550.0,reaction
89,256,,group
159,256,,group
94,256,,group
89,242,1597421215944.0,msg
242,89,1597417156887.0,msg
89,242,1597416266616.0,msg
242,89,1597415364391.0,msg
89,34,1588671654507.0,msg
34,89,1588671377988.0,msg
34,89,1588628601763.0,msg
89,34,1588628507622.0,msg
89,34,1588628471680.0,msg
34,89,1588628431727.0,msg
89,34,1588628114042.0,msg
89,34,1588628090537.0,msg
34,89,1588627717408.0,msg
89,34,1588627678097.0,msg
34,89,1588627590762.0,msg
89,34,1588627567772.0,msg
89,34,1588627555570.0,msg
34,89,1588627536681.0,msg
89,34,1588627041306.0,msg
34,89,1588626702029.0,msg
34,89,1588626677109.0,msg
89,34,1588626655149.0,msg
89,34,1588626646256.0,msg
89,34,1588626634731.0,msg
34,89,1588626597186.0,msg
34,89,1587635010893.0,msg
89,34,1587635001539.0,msg
34,89,1587634973893.0,msg
89,34,1587634949328.0,msg
89,34,1587634931124.0,msg
34,89,1587634917411.0,msg
89,34,1587634899546.0,msg
89,34,1587634776925.0,msg
34,89,1587634776723.0,msg
34,89,1587634767826.0,msg
89,34,1587634737221.0,msg
34,89,1587634723660.0,msg
89,34,1587634711478.0,msg
89,34,1587634697735.0,msg
89,34,1587634695696.0,msg
34,89,1587634691070.0,msg
34,89,1587634589374.0,msg
89,34,1587634558876.0,msg
89,34,1587634531854.0,msg
34,89,1587634517052.0,msg
34,89,1587634513851.0,msg
34,89,1587634355747.0,msg
89,34,1587634346612.0,msg
34,89,1587634337598.0,msg
89,34,1587634305053.0,msg
89,34,1587634294049.0,msg
34,89,1587633041198.0,msg
89,34,1587633036006.0,msg
89,34,1587633024550.0,msg
34,89,1587633017166.0,msg
34,89,1587632965969.0,msg
34,89,1587632961416.0,msg
34,89,1587632948952.0,msg
34,89,1587632922308.0,msg
89,34,1587632904305.0,msg
34,89,1587632897757.0,msg
89,34,1587632884478.0,msg
89,34,1587632863098.0,msg
89,34,1587632860022.0,msg
34,89,1587632681926.0,msg
34,89,1587632671996.0,msg
89,34,1587629217694.0,msg
34,89,1587629131869.0,msg
34,89,1587629126912.0,msg
89,34,1587628924336.0,msg
34,89,1587628655139.0,msg
89,34,1587628522667.0,msg
34,89,1588671654507.0,reaction
34,89,1587634697735.0,reaction
34,89,1587633024550.0,reaction
34,89,1587632863098.0,reaction
89,161,1567097796342.0,msg
89,293,1584948787437.0,msg
207,293,1584890597411.0,msg
207,293,1584890589623.0,msg
207,293,1584890584851.0,msg
207,293,1584890564626.0,msg
207,293,1584890547787.0,msg
207,293,1584890474401.0,msg
207,293,1584890404305.0,msg
207,293,1584890283266.0,msg
207,293,1584890264867.0,msg
207,293,1584890237764.0,msg
207,293,1584890205693.0,msg
207,293,1584890169271.0,msg
207,293,1584890103984.0,msg
207,293,1584889966965.0,msg
207,293,1584889937243.0,msg
207,293,1584889910136.0,msg
207,293,1584889862598.0,msg
89,293,1584889503825.0,msg
89,293,1584889481645.0,msg
89,293,1584889480596.0,msg
89,293,1584889382666.0,msg
89,293,1584889381391.0,msg
89,293,1584889369756.0,msg
89,293,1584889328675.0,msg
89,293,1584889282601.0,msg
89,293,1584889237476.0,msg
89,293,1584888294010.0,msg
89,293,1584888281707.0,msg
207,293,1584888026378.0,msg
207,293,1584888012308.0,msg
207,293,1584887978492.0,msg
89,293,,group
207,293,,group
89,86,1598210873598.0,msg
86,89,1598210785181.0,msg
89,86,1598210679770.0,msg
86,89,1598210639690.0,msg
86,89,1598210626639.0,msg
89,86,1598210622581.0,msg
89,86,1598210596049.0,msg
86,89,1598210575974.0,msg
89,86,1598210399178.0,msg
89,224,1601800015548.0,msg
207,224,1601798793906.0,msg
207,224,1601798731998.0,msg
159,224,1601798693794.0,msg
207,224,1601798680312.0,msg
207,224,1601798671789.0,msg
159,224,1601798666136.0,msg
207,224,1601798654287.0,msg
207,224,1601798615028.0,msg
207,224,1601798578483.0,msg
207,224,1601798568378.0,msg
