pair_key,friendship,friendship_strength,lost_con,lockdown
1 15,0.48,0.41999999999999993,FALSE,FALSE
1 15,0.36,0.26999999999999996,FALSE,FALSE
1 15,0.24,0.29999999999999993,FALSE,FALSE
1 15,0.72,0.44999999999999996,FALSE,FALSE
1 15,0.12,0.36,TRUE,FALSE
1 15,0.48,0.38999999999999996,FALSE,FALSE
1 15,0.48,0.44999999999999996,FALSE,FALSE
1 15,0.72,0.44999999999999996,FALSE,FALSE
1 15,1.08,0.69,FALSE,FALSE
1 15,0.12,0.6,TRUE,FALSE
1 15,0.24,0.54,TRUE,FALSE
1 15,1.08,0.63,FALSE,FALSE
1 15,0.12,0.39,TRUE,FALSE
1 15,2.04,0.87,FALSE,TRUE
1 15,0.96,1.05,FALSE,TRUE
1 15,0.6,0.9299999999999999,FALSE,TRUE
1 15,0.24,0.96,TRUE,TRUE
1 15,0.24,0.5099999999999999,TRUE,TRUE
1 15,0.12,0.29999999999999993,TRUE,TRUE
1 15,0.24,0.20999999999999994,FALSE,TRUE
1 15,25.57333333333333,6.543333333333333,FALSE,TRUE
1 15,1.44,6.843333333333333,TRUE,TRUE
1 15,0.12,6.843333333333333,TRUE,FALSE
1 15,0.12,6.813333333333333,TRUE,FALSE
1 15,37,9.67,FALSE,FALSE
1 15,16.333333333333332,13.393333333333333,FALSE,FALSE
1 15,13.333333333333332,16.696666666666665,FALSE,FALSE
1 15,2.6666666666666665,17.333333333333332,TRUE,FALSE
1 15,6.666666666666666,9.75,FALSE,FALSE
1 15,32,13.666666666666666,FALSE,FALSE
1 15,0.16,10.373333333333333,TRUE,TRUE
1 15,33.733333333333334,18.14,FALSE,TRUE
1 15,0.08,16.493333333333332,TRUE,TRUE
1 15,36.5,17.618333333333332,FALSE,TRUE
1 15,28.666666666666664,24.745,FALSE,TRUE
1 15,2,16.811666666666667,TRUE,TRUE
1 15,5.413333333333333,18.145,TRUE,TRUE
1 15,24,15.02,FALSE,TRUE
1 15,65.16,24.14333333333333,FALSE,TRUE
1 15,15.413333333333334,27.496666666666666,FALSE,TRUE
1 15,11.333333333333332,28.976666666666667,TRUE,TRUE
1 15,31.240000000000002,30.786666666666665,FALSE,TRUE
1 15,36.24,23.55666666666667,FALSE,TRUE
1 15,51.33333333333333,32.53666666666667,FALSE,TRUE
