join_id,id,pagerank,week,num_msgs,vacation,lockdown,num_friends,new_cons,trans
165_2019-10-13,165,0.020670693808652635,2019-10-13T00:00:00Z,3,FALSE,FALSE,2,0,0.926829268292683
187_2019-10-13,187,0.0563012000906197,2019-10-13T00:00:00Z,271,FALSE,FALSE,7,1,0.4276690922104257
190_2019-10-13,190,0.04783588672488347,2019-10-13T00:00:00Z,35,FALSE,FALSE,6,1,0.7828708716838079
259_2019-10-13,259,0.050386659210068054,2019-10-13T00:00:00Z,11,FALSE,FALSE,2,0,0.931296891747059
260_2019-10-13,260,0.04334989035830776,2019-10-13T00:00:00Z,60,FALSE,FALSE,5,1,0.8108317921318636
270_2019-10-13,270,0.021720448777692566,2019-10-13T00:00:00Z,8,FALSE,FALSE,2,1,0.7520954498802742
29_2019-10-13,29,0.03667577987585421,2019-10-13T00:00:00Z,38,FALSE,FALSE,4,0,0.7134778677917396
292_2019-10-13,292,0.025964724705371176,2019-10-13T00:00:00Z,11,FALSE,FALSE,3,0,1.2400309119010873
293_2019-10-13,293,0.03682308949464254,2019-10-13T00:00:00Z,30,FALSE,FALSE,6,0,0.49504818598419387
309_2019-10-13,309,0.03706265355690764,2019-10-13T00:00:00Z,19,FALSE,FALSE,5,2,1.0170593536758004
38_2019-10-13,38,0.03130769588007013,2019-10-13T00:00:00Z,47.12,FALSE,FALSE,6,1,0.9567878511428691
4_2019-10-13,4,0.04699110940694876,2019-10-13T00:00:00Z,29,FALSE,FALSE,6,1,0.7824553695310269
63_2019-10-13,63,0.03848450171538119,2019-10-13T00:00:00Z,23,FALSE,FALSE,4,4,0.346828948383612
158_2019-10-20,158,0.031097642987458665,2019-10-20T00:00:00Z,15,FALSE,FALSE,2,0,1.3657490704090134
164_2019-10-20,164,0.05353965046186035,2019-10-20T00:00:00Z,6,FALSE,FALSE,3,0,1.0723827594164261
190_2019-10-20,190,0.04783588672488347,2019-10-20T00:00:00Z,50,FALSE,FALSE,26,2,0.8532203287951211
29_2019-10-20,29,0.03667577987585421,2019-10-20T00:00:00Z,28,FALSE,FALSE,5,1,0.8743506340451325
38_2019-10-20,38,0.03130769588007013,2019-10-20T00:00:00Z,16.119999999999997,FALSE,FALSE,2,0,1.2613185661902244
123_2019-10-27,123,0.03145919327951638,2019-10-27T00:00:00Z,173,FALSE,FALSE,7,3,0.5476740792470325
158_2019-10-27,158,0.031097642987458665,2019-10-27T00:00:00Z,57,FALSE,FALSE,7,6,0.43250800506366766
164_2019-10-27,164,0.05353965046186035,2019-10-27T00:00:00Z,43,FALSE,FALSE,3,1,0.7570209769157119
177_2019-10-27,177,0.034741941499125545,2019-10-27T00:00:00Z,31,FALSE,FALSE,5,0,0.7315594655696402
190_2019-10-27,190,0.04783588672488347,2019-10-27T00:00:00Z,28,FALSE,FALSE,6,0,0.6078228342507843
29_2019-10-27,29,0.03667577987585421,2019-10-27T00:00:00Z,18,FALSE,FALSE,3,0,0.7267432355105069
305_2019-10-27,305,0.030031090815616272,2019-10-27T00:00:00Z,60,FALSE,FALSE,3,0,0.7479800350174093
38_2019-10-27,38,0.03130769588007013,2019-10-27T00:00:00Z,7,FALSE,FALSE,5,2,0.7413194444444446
123_2019-11-03,123,0.03145919327951638,2019-11-03T00:00:00Z,141,FALSE,FALSE,9,6,0.3565011249576181
14_2019-11-03,14,0.0310440881277427,2019-11-03T00:00:00Z,12,FALSE,FALSE,5,3,0.5658863587997481
155_2019-11-03,155,0.03427954008398348,2019-11-03T00:00:00Z,60,FALSE,FALSE,5,2,0.8683425619362896
158_2019-11-03,158,0.031097642987458665,2019-11-03T00:00:00Z,47,FALSE,FALSE,5,3,0.8942142550450786
164_2019-11-03,164,0.05353965046186035,2019-11-03T00:00:00Z,55,FALSE,FALSE,3,1,0.798177692689498
165_2019-11-03,165,0.020670693808652635,2019-11-03T00:00:00Z,6,FALSE,FALSE,2,2,1.176
177_2019-11-03,177,0.034741941499125545,2019-11-03T00:00:00Z,16,FALSE,FALSE,5,0,0.7677986684882822
187_2019-11-03,187,0.0563012000906197,2019-11-03T00:00:00Z,42,FALSE,FALSE,4,1,0.8246530989824118
190_2019-11-03,190,0.04783588672488347,2019-11-03T00:00:00Z,40,FALSE,FALSE,11,2,0.6685170221934794
194_2019-11-03,194,0.030598767240130005,2019-11-03T00:00:00Z,3,FALSE,FALSE,1,0,1.1316174319976615
22_2019-11-03,22,0.03266708116327665,2019-11-03T00:00:00Z,22,FALSE,FALSE,2,1,0.9231622093804608
235_2019-11-03,235,0.03206834898207799,2019-11-03T00:00:00Z,163,FALSE,FALSE,5,1,1.0232215228867194
244_2019-11-03,244,0.035936701230377184,2019-11-03T00:00:00Z,10,FALSE,FALSE,2,0,0.88881927039822
259_2019-11-03,259,0.050386659210068054,2019-11-03T00:00:00Z,10,FALSE,FALSE,2,1,1.1114906407979281
